# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-04 08:29:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpWMpWHD/standata-2a103b04951.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503040929-1-29bfd2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503040929-1-5af49c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l,theta_w_prior,theta_w_posterior,theta_l_prior,theta_l_posterior,prior_w_preds,posterior_w_preds,prior_l_preds,posterior_l_preds
# Adaptation terminated
# Step size = 0.380381
# Diagonal elements of inverse mass matrix:
# 1.57043, 1.53439
-67.2111,0.988392,0.380381,2,7,0,68.1194,0.944087,0.877052,0.194589,0.719924,0.39943,0.706211,115,85,103,80
-66.9788,0.983335,0.380381,2,7,0,68.3997,0.899725,0.813672,0.649671,0.710893,0.750357,0.692891,105,77,102,89
-67.3207,0.971726,0.380381,3,7,0,67.8053,0.786857,0.75699,0.628545,0.687156,0.706484,0.6807,92,92,80,79
-66.9888,0.994307,0.380381,2,7,0,67.5554,0.814821,0.825112,0.46574,0.693136,0.721337,0.69532,100,80,100,88
-67.0221,0.99356,0.380381,3,7,0,67.2151,0.890816,0.791491,0.630886,0.709058,0.588427,0.688151,103,83,98,78
-67.4931,0.971238,0.380381,3,7,0,68.0946,0.962344,0.870736,0.186381,0.723591,0.426278,0.704899,110,85,108,83
-66.9027,0.963023,0.380381,2,5,0,69.6343,0.896755,0.856367,0.209865,0.710282,0.424161,0.701901,107,78,105,81
-67.1163,0.990554,0.380381,2,3,0,67.1651,0.907603,0.779533,0.615267,0.712509,0.745918,0.685579,111,86,90,82
-67.0707,0.993501,0.380381,3,7,0,67.5528,0.783622,0.87923,0.306303,0.68646,0.684472,0.706663,90,90,104,88
-67.5367,0.971132,0.380381,2,3,0,67.5801,0.702602,0.863296,0.207685,0.668764,0.417741,0.703349,83,91,108,95
-67.9794,0.942313,0.380381,4,15,0,68.9658,0.970543,0.939618,0.657885,0.725228,0.257166,0.719023,116,86,115,84
-67.1927,1,0.380381,3,7,0,68.1059,0.909784,0.762996,0.255093,0.712956,0.273358,0.682004,107,89,95,75
-67.5379,0.980306,0.380381,3,7,0,67.9447,0.947841,0.939296,0.312221,0.720681,0.564737,0.718958,112,81,113,80
-67.6624,0.997936,0.380381,2,3,0,67.7224,0.946447,0.951249,0.635949,0.7204,0.466121,0.721366,113,83,110,78
-68.3895,0.992612,0.380381,3,7,0,68.6043,0.665029,0.959442,0.235747,0.660389,0.405824,0.72301,78,76,114,94
-68.0909,0.997885,0.380381,4,15,0,69.3102,0.980812,0.892039,0.667273,0.727269,0.292995,0.709311,119,88,105,86
-68.2156,0.99918,0.380381,2,3,0,68.3815,0.9838,0.87024,0.524258,0.727862,0.122769,0.704796,116,86,105,78
-67.6021,0.988283,0.380381,4,15,0,69.0862,0.70213,0.903471,0.484488,0.66866,0.330097,0.711662,95,94,104,81
-67.601,0.992279,0.380381,3,7,0,68.2258,0.962899,0.803332,0.573623,0.723702,0.614827,0.690687,116,88,97,87
-67.9472,0.984588,0.380381,2,3,0,68.0877,0.967305,0.74198,0.218827,0.724582,0.140291,0.677429,114,81,92,82
-67.5299,0.972808,0.380381,3,7,0,68.7635,0.963996,0.853764,0.753332,0.723921,0.13098,0.701356,116,84,104,83
-67.5618,0.998361,0.380381,2,3,0,67.7099,0.965418,0.854135,0.513167,0.724205,0.476213,0.701434,117,83,109,79
-67.9467,0.983527,0.380381,3,7,0,68.3062,0.750412,0.966894,0.602688,0.679268,0.699247,0.7245,85,83,114,91
-67.6356,0.999702,0.380381,3,7,0,68.5257,0.94156,0.953344,0.165218,0.719415,0.21776,0.721787,111,90,115,88
-67.6371,0.999155,0.380381,3,15,0,68.1466,0.915934,0.685741,0.479309,0.714213,0.344028,0.665019,111,96,83,75
-67.362,0.931638,0.380381,3,7,0,69.9262,0.954371,0.840887,0.722252,0.721993,0.76085,0.698652,116,88,105,80
-67.2992,0.999276,0.380381,2,3,0,67.4201,0.946621,0.816073,0.763352,0.720435,0.582537,0.693402,110,86,105,91
-68.5671,0.959056,0.380381,3,7,0,68.9066,0.933575,0.577862,0.859548,0.7178,0.91639,0.640575,109,82,73,74
-67.5374,0.999018,0.380381,3,7,0,69.0214,0.954476,0.927992,0.709298,0.722014,0.47869,0.716668,114,85,115,84
-67.2816,0.981297,0.380381,2,7,0,69.1421,0.869736,0.727178,0.933623,0.704691,0.769923,0.674186,103,84,85,82
-67.2393,0.97964,0.380381,3,7,0,67.9601,0.899009,0.943603,0.506556,0.710746,0.629874,0.719827,108,84,113,83
-67.0662,0.99897,0.380381,3,7,0,67.379,0.787298,0.838104,0.615321,0.687251,0.235075,0.698066,99,78,102,90
-66.9226,0.909645,0.380381,2,7,0,68.8193,0.903009,0.872091,0.538879,0.711568,0.735017,0.705181,108,89,102,78
-67.7208,0.980597,0.380381,3,7,0,67.7502,0.964112,0.776208,0.772544,0.723944,0.306957,0.684862,115,89,89,84
-67.825,0.998745,0.380381,2,3,0,67.8271,0.966939,0.766736,0.389218,0.724509,0.544878,0.682814,114,91,92,83
-68.1368,0.999407,0.380381,3,7,0,68.4888,0.982149,0.881137,0.716116,0.727534,0.484807,0.707058,118,90,110,79
-68.7137,0.989834,0.380381,3,7,0,68.9255,0.982607,0.701463,0.163968,0.727625,0.0907327,0.668512,117,79,84,89
