# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-11 07:28:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpUxxAsl/standata-560c52aa6cbe.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503110828-2-8bf2bf.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503110828-2-542326.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l,theta_w_prior,theta_w_posterior,theta_l_prior,theta_l_posterior,prior_w_preds,posterior_w_preds,prior_l_preds,posterior_l_preds
# Adaptation terminated
# Step size = 0.224526
# Diagonal elements of inverse mass matrix:
# 1.64543, 2.22938
-64.8277,0.970023,0.224526,3,7,0,65.8235,0.943432,0.347409,0.177682,0.719792,0.397997,0.585989,110,81,45,79
-65.5764,0.997434,0.224526,3,7,0,65.9968,0.931868,0.276374,0.751061,0.717454,0.631311,0.568657,110,86,31,80
-64.7991,0.999101,0.224526,3,7,0,66.3768,0.968386,0.375664,0.699391,0.724798,0.639647,0.592827,115,85,44,73
-62.5803,0.996144,0.224526,3,7,0,65.8054,0.971911,0.850576,0.648296,0.7255,0.659142,0.700688,115,82,102,82
-62.4815,0.981322,0.224526,3,15,0,65.9777,0.879451,0.879813,0.872089,0.706708,0.449427,0.706783,109,82,105,92
-62.5255,0.974697,0.224526,2,7,0,63.9917,0.970689,0.807713,0.406737,0.725257,0.556313,0.691622,115,89,97,81
-63.0905,0.965305,0.224526,4,15,0,64.7865,0.861076,0.943536,0.459896,0.702885,0.834985,0.719813,103,86,117,90
-63.6952,0.993629,0.224526,4,15,0,64.4381,0.950836,0.978795,0.573929,0.721283,0.320068,0.726869,112,94,119,85
-62.9137,0.996009,0.224526,3,15,0,64.6907,0.980921,0.876075,0.648204,0.727291,0.367632,0.706008,120,89,106,88
-63.0191,0.997315,0.224526,4,15,0,63.4456,0.979845,0.907111,0.360572,0.727077,0.533899,0.712409,119,90,109,81
-63.9993,0.993936,0.224526,3,7,0,64.2508,0.988319,0.576101,0.482606,0.728756,0.241689,0.64017,119,94,60,76
-62.8055,0.99554,0.224526,3,9,0,64.6719,0.969828,0.915771,0.601181,0.725085,0.69685,0.71418,112,92,110,87
-63.1568,0.996623,0.224526,4,15,0,63.7936,0.894286,0.96017,0.388571,0.709774,0.797434,0.723156,111,83,114,98
-63.0807,0.999999,0.224526,3,7,0,63.2154,0.911841,0.959835,0.3187,0.713377,0.359052,0.723089,111,83,113,91
-62.9963,0.99821,0.224526,3,11,0,63.331,0.932121,0.573813,0.707728,0.717505,0.254829,0.639643,114,91,74,77
-63.3925,0.989839,0.224526,3,15,0,64.8642,0.974726,0.577735,0.677576,0.72606,0.395151,0.640546,118,86,65,77
-62.7097,0.962109,0.224526,3,7,0,65.514,0.97517,0.747314,0.220237,0.726149,0.571816,0.678593,116,82,96,85
-62.4376,0.984366,0.224526,2,7,0,63.9144,0.957246,0.882082,0.736319,0.72257,0.203861,0.707254,114,93,104,80
-63.3146,0.995549,0.224526,3,15,0,63.4249,0.985366,0.678626,0.240101,0.728172,0.287836,0.663432,120,84,88,74
-63.6277,0.994735,0.224526,2,3,0,63.7204,0.989066,0.661387,0.371783,0.728903,0.768221,0.659572,120,85,84,80
-62.6353,0.998986,0.224526,3,15,0,64.8341,0.849885,0.770406,0.68544,0.700543,0.7969,0.683609,97,88,92,78
-62.8005,0.986965,0.224526,4,15,0,63.6137,0.978643,0.754556,0.145347,0.726839,0.656563,0.680171,118,90,87,74
-62.2423,0.996314,0.224526,3,15,0,64.1242,0.941665,0.781565,0.365997,0.719436,0.704609,0.686017,113,74,92,77
-64.6149,0.96006,0.224526,3,7,0,64.6935,0.899938,0.372546,0.9328,0.710937,0.473545,0.592074,114,90,53,68
-64.7983,0.989969,0.224526,3,7,0,66.3421,0.799041,0.44698,0.799764,0.689769,0.327009,0.609921,90,84,59,72
-64.7417,0.998336,0.224526,2,3,0,65.269,0.841814,0.402606,0.536703,0.698847,0.838704,0.599314,102,85,51,69
-63.8134,0.996399,0.224526,1,3,0,65.0792,0.864546,0.492683,0.412013,0.70361,0.735796,0.620738,100,81,65,77
-64.2051,0.991115,0.224526,3,7,0,64.6988,0.838833,0.469756,0.509592,0.698219,0.621287,0.615326,104,83,56,67
-63.9744,0.998004,0.224526,4,15,0,65.2416,0.988994,0.9517,0.630434,0.728889,0.646556,0.721457,116,93,115,86
-65.409,0.993474,0.224526,4,15,0,66.5382,0.986754,0.991534,0.622391,0.728446,0.471321,0.729391,120,80,117,81
-64.312,0.999716,0.224526,4,15,0,66.4874,0.944345,0.989386,0.469003,0.719976,0.686603,0.728967,116,87,119,86
